price,yearOfRegistration,powerPS,kilometer,model,fuelType,name
1450,1997,75,90000,andere,benzin,Toyota_Toyota_Starlet_1._Hand__TÜV_neu
13100,2005,280,5000,golf,benzin,R32_tauschen_oder_kaufen
4500,2008,87,90000,yaris,benzin,Toyota_Yaris_1.3_VVT_i
6000,2009,177,125000,3er,diesel,320_Alpinweiss_Kohlenstoff
3990,1999,118,90000,3er,benzin,BMW_318i_E46_+++_1._Hand_+++_Liebhaberfahrzeug
4400,2008,71,40000,fortwo,benzin,Smart_smart_fortwo_coupe_pulse
1500,2005,72,125000,andere,lpg,Chevrolet_Kalos_1.2_SE
3999,2009,61,40000,fortwo,benzin,Smart_fortwo__Coupe__mhd___neu__TueV_/HU___3/2018
640,1999,69,125000,andere,benzin,Suzuki_Wagon_R+_Garagenfahrzeug
9499,2010,109,80000,c4,diesel,Citroën_C4_Picasso_1.6_HDi_FAP_Tendance_AHK_Diesel_TOP
200,1995,50,125000,,benzin,Ford_fiesta_an_bastler
11500,2009,160,90000,scirocco,benzin,Volkswagen_Scirocco_1.4_TSI
42600,2015,184,5000,q3,diesel,Audi_Q3_2.0_TDI_quattro_S_tronic_sport
5750,2010,101,5000,,benzin,Brilliance_CamPro_1_6_SX_einmalig_in_Deutschland__4550KM
20500,2010,177,90000,1er,diesel,BMW_120d_Coupe_M_Packet
650,2002,60,125000,ka,benzin,Ford_Ka_mit_viele_Neuteile_Kupplung_Bremsen_usw.
5399,1999,193,125000,3er,,BMW_E46_328_Ci
3900,2007,90,125000,corsa,benzin,Opel_Corsa_D
3600,2009,76,125000,twingo,benzin,Renault_Twingo_1.2_16V__Night_&_Day_top_zustand
6750,2009,100,50000,civic,benzin,Honda_Civic_Type_S___Scheckheft___Garantie___top
4900,2011,61,50000,fortwo,benzin,Smart_Smart_Fortwo_Coupe_mhd
800,1995,150,90000,andere,benzin,Mitsubishi_Eclipse_2000_16V_GSi
6480,2007,102,125000,caddy,benzin,VW_Caddy_1.6_Life_Family__Zahnriehmen_Bremsen_usw_
5890,2005,136,60000,2_reihe,benzin,Peugeot_206_CC_135_Platinum
4500,2004,131,125000,passat,diesel,VW_Passat_1.9_TDI_Automatikgetriebe
1500,2004,157,5000,3er,lpg,Ferkaufen_meine_auto.
44000,1986,250,10000,andere,benzin,Ford_Gt_40_mk_lll
22999,2014,194,60000,astra,diesel,Opel_Opel_Astra_J_GTC_2.0_Cdti_Biturbo
6890,2010,68,30000,andere,benzin,Suzuki_Alto_1.0_Automatik_Comfort_TOP_ZUSTAND_PARKHILFE
4885,2007,60,80000,polo,benzin,Volkswagen_Polo_1.2_Tour_Klima_PDC_Winterreifen_Sitzheizung
12000,2013,105,40000,ibiza,benzin,Seat_Ibiza_FR_Kombi_1.2_*SHZ*_*Xenon*_grau
27499,2014,184,30000,3er,benzin,BMW_320i_Sport_Aut._M_Paket
13990,2011,105,80000,golf,benzin,VW_Golf_VI_Comfortline
20000,2017,239,90000,a5,,AUDI_A5_3.0_TDI__B&O__S_Line
1950,1999,65,80000,astra,benzin,Opel_Astra
4299,2005,75,70000,fabia,benzin,Skoda_Fabia_1.4_16V_Combi_Sport
16500,2013,150,125000,golf,diesel,Volkswagen_Golf_2.0_TDI_BlueMotion_Technology_DSG_Highline
