length,profit,width
807.0,634630.0,1032.0
299.0,124074.0,337.0
431.0,1338300.0,1631.0
744.0,327720.0,553.0
364.0,500244.0,827.0
977.0,1284950.0,1608.0
969.0,96045.0,207.0
339.0,868313.0,1208.0
443.0,1471693.0,1723.0
488.0,156123.0,392.0
506.0,860984.0,1253.0
310.0,474912.0,863.0
791.0,359585.0,774.0
551.0,1134907.0,1424.0
562.0,53871.0,32.0
156.0,717514.0,1116.0
694.0,1085443.0,1386.0
290.0,422056.0,869.0
820.0,654704.0,1044.0
506.0,398611.0,724.0
614.0,681866.0,982.0
633.0,1556410.0,1724.0
640.0,182040.0,360.0
563.0,601289.0,995.0
328.0,1261952.0,1489.0
462.0,643479.0,1117.0
151.0,143325.0,239.0
566.0,1189117.0,1469.0
675.0,578658.0,1066.0
774.0,308172.0,637.0
967.0,1167085.0,1479.0
550.0,187697.0,4.0
688.0,323415.0,561.0
556.0,758753.0,1151.0
139.0,1839104.0,1896.0
650.0,533558.0,920.0
698.0,264162.0,507.0
47.0,557557.0,935.0
309.0,532840.0,1048.0
764.0,1578255.0,1759.0
231.0,963344.0,1265.0
124.0,298877.0,550.0
788.0,804332.0,1074.0
262.0,997302.0,1380.0
438.0,553289.0,937.0
251.0,490169.0,926.0
1074.0,619439.0,1009.0
524.0,413778.0,644.0
999.0,146463.0,218.0
591.0,767054.0,1210.0
371.0,84003.0,311.0
483.0,1736756.0,1821.0
768.0,577279.0,929.0
668.0,710457.0,1021.0
791.0,1431071.0,1617.0
566.0,1625184.0,1776.0
731.0,615943.0,1001.0
52.0,1346050.0,1598.0
690.0,667224.0,1071.0
120.0,404191.0,836.0
121.0,373396.0,690.0
771.0,668349.0,1167.0
429.0,428210.0,738.0
450.0,638533.0,1018.0
733.0,1071889.0,1354.0
629.0,457388.0,924.0
251.0,420888.0,864.0
847.0,311435.0,586.0
86.0,1085359.0,1459.0
1165.0,2234126.0,2119.0
473.0,1023108.0,1421.0
407.0,342548.0,682.0
785.0,311471.0,653.0
561.0,321314.0,777.0
818.0,250983.0,490.0
187.0,74373.0,175.0
1062.0,143942.0,309.0
926.0,68175.0,363.0
678.0,939109.0,1316.0
97.0,560288.0,972.0
330.0,1436203.0,1710.0
106.0,1076883.0,1400.0
648.0,1137619.0,1453.0
381.0,354097.0,760.0
847.0,718089.0,1088.0
397.0,1179637.0,1456.0
696.0,104115.0,255.0
199.0,2607521.0,2325.0
951.0,256204.0,37.0
437.0,581404.0,860.0
536.0,537537.0,915.0
181.0,291636.0,617.0
425.0,1584040.0,1747.0
380.0,165505.0,472.0
198.0,112968.0,36.0
380.0,583625.0,1077.0
606.0,37086.0,61.0
109.0,503551.0,873.0
258.0,931090.0,1348.0
364.0,804499.0,1202.0
394.0,497683.0,864.0
356.0,293280.0,709.0
276.0,542430.0,903.0
831.0,303700.0,660.0
452.0,863802.0,1225.0
525.0,2029229.0,2018.0
791.0,233920.0,601.0
45.0,474978.0,866.0
520.0,277945.0,610.0
687.0,1149730.0,1412.0
621.0,9321.0,112.0
726.0,396997.0,767.0
745.0,1507244.0,1734.0
382.0,1449374.0,1635.0
486.0,688861.0,1093.0
211.0,179186.0,236.0
280.0,445553.0,802.0
821.0,31452.0,58.0
1059.0,910019.0,1265.0
494.0,601836.0,1053.0
451.0,1589344.0,1736.0
421.0,1018509.0,1344.0
399.0,544308.0,949.0
564.0,358265.0,681.0
961.0,1288119.0,1574.0
439.0,550876.0,924.0
674.0,855230.0,1243.0
818.0,660005.0,1023.0
242.0,37827.0,221.0
838.0,553615.0,954.0
533.0,1780839.0,1906.0
560.0,1261655.0,1497.0
439.0,852758.0,1289.0
187.0,83836.0,367.0
64.0,962928.0,1399.0
303.0,1281330.0,1513.0
526.0,626336.0,1052.0
560.0,834553.0,1228.0
517.0,35239.0,471.0
603.0,215762.0,629.0
18.0,1140728.0,1501.0
606.0,445285.0,906.0
84.0,1113516.0,1444.0
629.0,957016.0,1273.0
628.0,509444.0,850.0
385.0,1282533.0,1578.0
378.0,1096220.0,1401.0
41.0,279803.0,576.0
448.0,382792.0,825.0
322.0,355326.0,762.0
295.0,591900.0,1030.0
1214.0,445882.0,822.0
309.0,1078343.0,1464.0
656.0,634689.0,926.0
713.0,835229.0,1211.0
298.0,1463816.0,1727.0
580.0,632663.0,1044.0
774.0,66726.0,6.0
1044.0,805460.0,1261.0
715.0,750568.0,1193.0
1061.0,182623.0,345.0
199.0,739178.0,1123.0
475.0,1429084.0,1708.0
546.0,599952.0,999.0
772.0,653927.0,1024.0
786.0,106993.0,293.0
621.0,1836775.0,1930.0
222.0,169861.0,461.0
111.0,1211595.0,1549.0
55.0,376778.0,783.0
607.0,562964.0,967.0
701.0,507262.0,830.0
263.0,687698.0,1092.0
324.0,343303.0,626.0
825.0,676140.0,1116.0
243.0,215289.0,523.0
355.0,428269.0,825.0
323.0,623241.0,1012.0
281.0,823519.0,1171.0
907.0,651060.0,1110.0
641.0,807333.0,1142.0
13.0,268154.0,483.0
618.0,878260.0,1279.0
574.0,302109.0,622.0
407.0,600061.0,1014.0
672.0,523127.0,929.0
53.0,353449.0,769.0
385.0,1605703.0,1795.0
314.0,302480.0,679.0
473.0,627975.0,1093.0
869.0,446080.0,862.0
811.0,1469968.0,1706.0
869.0,990474.0,1365.0
687.0,444595.0,780.0
1036.0,914036.0,1310.0
906.0,554890.0,958.0
498.0,562297.0,941.0
524.0,474415.0,764.0
319.0,192631.0,418.0
188.0,138030.0,187.0
