Gewinn,Preis in Mio,Quadratmeter,Stadt
119000.0,21.88,3938.0,Berlin
250000.0,27.95,3986.0,München
250000.0,16.09,2574.0,Köln
145000.0,27.58,4155.0,München
110000.0,23.76,3795.0,Berlin
246000.0,22.88,2773.0,München
54000.0,13.25,634.0,München
2000.0,8.94,82.0,München
114000.0,24.87,3706.0,München
47000.0,14.11,1692.0,Berlin
54000.0,11.65,1989.0,Köln
124000.0,17.26,2616.0,Berlin
125000.0,18.45,3358.0,Köln
62000.0,17.08,1941.0,München
250000.0,19.32,1831.0,München
24000.0,8.48,800.0,Berlin
102000.0,14.16,2700.0,Köln
26000.0,13.84,1257.0,München
85000.0,19.59,2644.0,Berlin
182000.0,18.64,2001.0,München
74000.0,8.0,1581.0,Köln
5000.0,7.84,82.0,München
134000.0,15.54,2412.0,Köln
14000.0,6.09,769.0,Köln
84000.0,22.4,3815.0,Berlin
124000.0,23.44,3122.0,München
32000.0,17.75,1492.0,München
250000.0,6.73,525.0,Köln
53000.0,14.22,1217.0,München
32000.0,17.22,1497.0,München
63000.0,17.97,3101.0,Berlin
88000.0,13.58,2644.0,Köln
156000.0,19.1,3631.0,Köln
138000.0,13.09,1461.0,Berlin
37000.0,15.93,1492.0,München
86000.0,19.37,2408.0,München
17000.0,7.87,859.0,Köln
23000.0,9.76,703.0,Berlin
136000.0,22.98,4908.0,Köln
129000.0,14.15,2545.0,Köln
34000.0,13.77,1847.0,Berlin
18000.0,7.77,502.0,Berlin
137000.0,18.12,3478.0,Köln
73000.0,9.88,756.0,Berlin
156000.0,24.78,5099.0,Köln
21000.0,8.69,1215.0,Köln
91000.0,19.76,3107.0,Berlin
72000.0,13.76,2375.0,Köln
101000.0,11.87,2101.0,Köln
250000.0,24.21,4832.0,Köln
57000.0,13.0,2458.0,Köln
83000.0,23.6,4561.0,Berlin
87000.0,24.43,4044.0,Berlin
141000.0,21.93,3896.0,Berlin
99000.0,21.26,2630.0,München
250000.0,20.43,3249.0,Berlin
99000.0,14.97,2409.0,Berlin
113000.0,22.62,2618.0,München
83000.0,19.6,3366.0,Köln
29000.0,10.94,1625.0,Köln
68000.0,22.3,3149.0,München
121000.0,22.99,3944.0,Berlin
71000.0,16.32,3162.0,Berlin
64000.0,13.86,1993.0,Köln
250000.0,16.39,2583.0,Köln
97000.0,16.55,2301.0,Berlin
4000.0,6.95,171.0,Berlin
250000.0,20.64,3876.0,Köln
13000.0,12.1,304.0,München
250000.0,20.86,3849.0,Köln
66000.0,22.42,2795.0,München
250000.0,32.78,5702.0,München
75000.0,20.14,4082.0,Köln
125000.0,20.27,3910.0,Köln
126000.0,24.49,4565.0,Berlin
250000.0,27.94,4436.0,München
250000.0,10.41,1355.0,Köln
64000.0,14.9,2220.0,Berlin
97000.0,24.81,3674.0,München
91000.0,16.38,2847.0,Köln
124000.0,26.31,5201.0,Berlin
25000.0,9.07,1002.0,Berlin
58000.0,19.93,3306.0,München
57000.0,15.18,2952.0,Köln
19000.0,7.98,723.0,Berlin
23000.0,12.08,760.0,München
26000.0,9.63,1241.0,Köln
96000.0,23.05,3168.0,München
250000.0,28.24,5741.0,Köln
45000.0,17.71,1873.0,München
3000.0,6.62,114.0,Berlin
116000.0,21.03,3707.0,Berlin
80000.0,17.13,3165.0,Köln
62000.0,16.15,1799.0,München
85000.0,11.9,647.0,München
20000.0,8.97,396.0,Berlin
61000.0,7.75,1346.0,Köln
142000.0,30.14,5427.0,München
156000.0,17.67,3085.0,Köln
39000.0,13.98,1594.0,Berlin
163000.0,19.13,3619.0,Köln
128000.0,16.51,1127.0,München
71000.0,18.09,2985.0,Berlin
67000.0,20.95,2770.0,München
7000.0,9.25,242.0,Berlin
250000.0,26.66,5519.0,Köln
69000.0,13.97,3062.0,Köln
120000.0,22.87,4681.0,Köln
34000.0,18.3,2501.0,München
25000.0,11.21,1690.0,Berlin
89000.0,27.96,4494.0,München
176000.0,20.54,2671.0,München
250000.0,35.35,5549.0,München
103000.0,7.65,1275.0,Köln
56000.0,14.56,2218.0,Köln
76000.0,18.78,2186.0,München
7000.0,4.16,380.0,Köln
33000.0,16.04,1505.0,München
121000.0,27.27,4151.0,München
44000.0,13.09,1781.0,Berlin
250000.0,31.79,5607.0,Berlin
125000.0,28.49,5643.0,Köln
125000.0,21.27,3309.0,Berlin
48000.0,17.86,3302.0,Berlin
95000.0,17.35,3429.0,Köln
250000.0,15.44,2584.0,Köln
135000.0,16.94,3224.0,Köln
44000.0,6.3,788.0,Köln
192000.0,23.82,3708.0,Berlin
63000.0,8.9,1489.0,Köln
87000.0,14.69,2244.0,Köln
11000.0,4.8,179.0,Köln
121000.0,13.21,2220.0,Köln
104000.0,19.87,3374.0,Berlin
227000.0,12.98,1696.0,Berlin
250000.0,12.73,2115.0,Köln
250000.0,19.6,3558.0,Köln
35000.0,7.91,1021.0,Köln
187000.0,24.9,4008.0,Berlin
8000.0,5.65,267.0,Köln
250000.0,29.45,5256.0,Berlin
232000.0,15.28,2337.0,Köln
8000.0,6.19,449.0,Köln
213000.0,23.86,4763.0,Köln
159000.0,21.4,3078.0,Berlin
45000.0,10.5,1775.0,Köln
250000.0,23.8,4058.0,Köln
32000.0,12.86,1668.0,Berlin
35000.0,15.8,2281.0,Berlin
90000.0,17.09,2297.0,Berlin
