Quadratmeter,Verkaufspreis
70,351000
72,390000
91,473000
58,282000
49,300000
50,286000
48,228000
33,181000
61,308000
51,289000
78,414000
70,358000
35,165000
81,397000
70,352000
47,239000
55,322000
70,376000
89,499000
68,383000
42,229000
93,424000
54,256000
52,256000
72,363000
62,328000
65,331000
98,465000
39,273000
50,215000
62,287000
45,207000
11,7000
60,328000
60,282000
74,322000
64,305000
56,317000
71,406000
40,225000
76,407000
88,443000
55,294000
60,277000
79,393000
109,576000
51,254000
48,263000
25,101000
88,426000
